Firm,Type,Approx_AUM,USC_Connection,USC_Evidence_URL,Recruiting_Contact_Name,Recruiting_Contact_Title,Recruiting_USC_Evidence,Recruiting_Evidence_URL
RBC Capital Markets,Investment Bank,Major,TFA LA/SF/NY; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/SF/NY; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy
Barclays,Investment Bank,Major,TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
Goldman Sachs,Investment Bank,Major,TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
J.P. Morgan,Investment Bank / AM,Major,TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
Morgan Stanley,Investment Bank,Major,TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
Bank of America,Bank / Markets,Major,TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
Citi,Investment Bank,Major,TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
UBS,Bank / Wealth,Major,TFA LA/NY/SF; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/NY/SF; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
Wells Fargo,Bank / Markets,Major,TFA LA/SF/NY; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/SF/NY; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
Deutsche Bank,Investment Bank,Major,TFA SF/NY/HK,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/NY/HK,https://www.marshall.usc.edu/trojan-finance-academy
Credit Suisse (UBS),Investment Bank,Major,TFA LA/SF/NY historical placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/SF/NY historical placements,https://www.marshall.usc.edu/trojan-finance-academy
Nomura,Investment Bank,Major,TFA SF/NY placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/NY placements,https://www.marshall.usc.edu/trojan-finance-academy
Mizuho,Investment Bank,Major,TFA SF/NY; Marshall internship employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/NY; Marshall internship employer,https://www.marshall.usc.edu/trojan-finance-academy
MUFG,Bank,Major,TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy
Santander,Bank,Major,TFA LA/NY/SF; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/NY/SF; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy
Truist,Bank,Major,TFA SF/NY placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/NY placements,https://www.marshall.usc.edu/trojan-finance-academy
HSBC,Bank,Major,TFA NY; Marshall internship employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY; Marshall internship employer,https://www.marshall.usc.edu/trojan-finance-academy
Cantor Fitzgerald,Investment Bank,Major,TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy
Lincoln International,M&A Advisory,Global mid-market,TFA LA/NY placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/NY placements,https://www.marshall.usc.edu/trojan-finance-academy
Ducera Partners,Restructuring / Advisory,Major boutique,TFA LA/SF; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/SF; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy
Eastdil Secured,Real Estate IB,Major,TFA SF; Marshall internship employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF; Marshall internship employer,https://www.marshall.usc.edu/trojan-finance-academy
FT Partners,Fintech IB,Boutique,TFA SF/LA; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/LA; TIS placements,https://trojaninvestingsociety.com/historical-placements
Qatalyst Partners,Tech M&A,Elite boutique,TFA SF placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF placements,https://www.marshall.usc.edu/trojan-finance-academy
Tidal Partners,Tech M&A,Boutique,TIS Class of 2025,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TIS Class of 2025,https://trojaninvestingsociety.com/historical-placements
B. Riley Securities,IB / Capital Markets,Public co.,TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy
Sage Group,IB advisory,Regional,TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy
Wedbush,Investment Bank,Regional,TIS Class of 2025 NY,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TIS Class of 2025 NY,https://trojaninvestingsociety.com/historical-placements
Chubb,Insurance,Major,Marshall top internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
Aon,Insurance / Risk,Major,Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
PNC Financial Services,Bank,Major,Marshall top internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
City National Bank,Private Bank,Major,Marshall top internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
U.S. Bank,Bank,Major,Marshall top internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
Rosano Capital Partners,Real Estate PE,$1B+,Marshall internship employer (2024-25 handbook),https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall internship employer (2024-25 handbook),https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf
Evoke Advisors,Wealth / AM,$5B+,Marshall internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf
Bellator Trust,Trust / Wealth,Regional,Marshall internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf
Whittier Trust,Wealth Management,$20B+ AUM,Marshall internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf
PennyMac Financial Services,Mortgage / Finance,Public major,Marshall full-time employer (older handbook),https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/uscm_ugcs_rechand_sp_hklsy2xpeg.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall full-time employer (older handbook),https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/uscm_ugcs_rechand_sp_hklsy2xpeg.pdf
Duff & Phelps (Kroll),Valuation,Major,Marshall internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/uscm_ugcs_rechand_sp_hklsy2xpeg.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/uscm_ugcs_rechand_sp_hklsy2xpeg.pdf
Third Bridge Group,Expert network / research,Major,Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
QuadReal Property Group,Real Estate IM,$80B+,Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
CBRE,Real Estate Services / IM,Major,Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
JLL,Real Estate Services,Major,Marshall top internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
Hines,Real Estate IM,Major,Marshall full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf
Alvarez & Marsal,Restructuring / Advisory,Major,Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
FTI Consulting,Advisory,Major,Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
Apollo Global Management,Alternative Asset Manager,$650B+,LA summer analyst roles; AltFinance with Oaktree/Ares; Marshall MBA employer lists,https://www.apollo.com/careers/life-at-apollo,Campus Recruiting / Early Careers,Summer Analyst Program,2026 Summer Analyst Quant Analytics LA posting; Marshall recruiting ecosystem,https://getmereferred.com/us/job-listing/2026-summer-analyst-quant-analytics-apollo-usca-to-3-years-experience-d3f46ba6-419a-467c-9085-e725e1ac1cf4
